	atlas	data	contrast	estimator	participants	observed_value	binom_p_value	corr_t	corr_p	pos_res	neg_res
0	activation	real	dualxsingle	ppi	filtered	22	0.0009266853041982847	5.044984405960661	9.901023771963224e-07	1	21
1	activation	real	dualxsingle	lss	filtered	19	0.009621225849759765	5.044984405960661	9.901023771963224e-07	6	13
2	activation	real	dualxsingle	lsa	filtered	9	0.7270661413238029	5.044984405960661	9.901023771963224e-07	0	9
3	activation	null	dualxsingle	ppi	filtered	20	0.0046300429453945075	5.166868392618796	5.586027942428018e-07	10	10
4	activation	null	dualxsingle	lss	filtered	9	0.7270661413238029	5.166868392618796	5.586027942428018e-07	3	6
5	activation	null	dualxsingle	lsa	filtered	11	0.48084080285033914	5.166868392618796	5.586027942428018e-07	3	8
6	activation	real	repeatxsingle	ppi	filtered	25	5.885492478354306e-05	4.842234072350894	2.5102413905297993e-06	1	24
7	activation	real	repeatxsingle	lss	filtered	16	0.06332235432472427	4.842234072350894	2.5102413905297993e-06	1	15
8	activation	real	repeatxsingle	lsa	filtered	21	0.0021213168013582465	4.842234072350894	2.5102413905297993e-06	0	21
9	activation	null	repeatxsingle	ppi	filtered	24	0.00015415048325724477	5.463553566189608	1.3324916836587875e-07	8	16
10	activation	null	repeatxsingle	lss	filtered	12	0.35971525546679667	5.463553566189608	1.3324916836587875e-07	5	7
11	activation	null	repeatxsingle	lsa	filtered	10	0.6074169998660277	5.463553566189608	1.3324916836587875e-07	3	7
12	activation	real	switchxrepeat	ppi	filtered	18	0.01900568953973777	3.3179218482709247	0.0010713008194676021	16	2
13	activation	real	switchxrepeat	lss	filtered	6	0.9536390167711677	3.3179218482709247	0.0010713008194676021	5	1
14	activation	real	switchxrepeat	lsa	filtered	15	0.10648599017821032	3.3179218482709247	0.0010713008194676021	13	2
15	activation	null	switchxrepeat	ppi	filtered	13	0.25399602770657814	2.4598373812650167	0.01471981374057063	11	2
16	activation	null	switchxrepeat	lss	filtered	3	0.9984712389828879	2.4598373812650167	0.01471981374057063	2	1
17	activation	null	switchxrepeat	lsa	filtered	12	0.35971525546679667	2.4598373812650167	0.01471981374057063	7	5
18	schaeferbest	real	dualxsingle	ppi	filtered	51	2.684518238709345e-23	4.695133852737228	5.141917876150259e-06	4	47
