regions	index
LH-VisCent-ExStr_1	1
LH-VisCent-ExStr_2	2
LH-VisCent-ExStr_3	3
LH-VisCent-ExStr_4	4
LH-VisCent-ExStr_5	5
LH-VisCent-ExStr_6	6
LH-VisCent-ExStr_7	7
LH-VisCent-ExStr_8	8
LH-VisCent-ExStr_9	9
LH-VisCent-ExStr_10	10
LH-VisCent-ExStr_11	11
LH-VisCent-ExStr_12	12
LH-VisPeri-ExStrSup_1	13
LH-VisPeri-ExStrSup_2	14
LH-VisPeri-ExStrSup_3	15
LH-VisPeri-ExStrSup_4	16
LH-VisPeri-ExStrSup_5	17
LH-VisPeri-ExStrSup_6	18
LH-VisPeri-ExStrSup_7	19
LH-VisPeri-ExStrSup_8	20
LH-VisPeri-ExStrSup_9	21
LH-VisPeri-ExStrSup_10	22
LH-VisPeri-ExStrSup_11	23
LH-VisPeri-ExStrSup_12	24
LH-SomMotA-1	25
LH-SomMotA-2	26
LH-SomMotA-3	27
LH-SomMotA-4	28
LH-SomMotA-5	29
LH-SomMotA-6	30
LH-SomMotA-7	31
LH-SomMotA-8	32
LH-SomMotA-9	33
LH-SomMotA-10	34
LH-SomMotA-11	35
LH-SomMotA-12	36
LH-SomMotA-13	37
LH-SomMotA-14	38
LH-SomMotA-15	39
LH-SomMotA-16	40
LH-SomMotA-17	41
LH-SomMotA-18	42
LH-SomMotA-19	43
LH-SomMotB-Aud_1	44
LH-SomMotB-Aud_2	45
LH-SomMotB-Aud_3	46
LH-SomMotB-Aud_4	47
LH-SomMotB-Aud_5	48
LH-SomMotB-Aud_6	49
LH-SomMotB-Aud_7	50
LH-SomMotB-Aud_8	51
LH-SomMotB-Aud_9	52
LH-SomMotB-Aud_10	53
LH-SomMotB-Aud_11	54
LH-SomMotB-Aud_12	55
LH-SomMotB-Aud_13	56
LH-SomMotB-Aud_14	57
LH-SomMotB-Aud_15	58
LH-SomMotB-Aud_16	59
LH-DorsAttnA-TempOcc_1	60
LH-DorsAttnA-TempOcc_2	61
LH-DorsAttnA-TempOcc_3	62
LH-DorsAttnA-TempOcc_4	63
LH-DorsAttnA-ParOcc_1	64
LH-DorsAttnA-SPL_1	65
LH-DorsAttnA-SPL_2	66
LH-DorsAttnA-SPL_3	67
LH-DorsAttnA-SPL_4	68
LH-DorsAttnA-SPL_5	69
LH-DorsAttnA-SPL_6	70
LH-DorsAttnA-SPL_7	71
LH-DorsAttnA-SPL_8	72
LH-DorsAttnB-PostC_1	73
LH-DorsAttnB-PostC_2	74
LH-DorsAttnB-PostC_3	75
LH-DorsAttnB-PostC_4	76
