Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
1	27.77	-59.80	-22.00	7.43	296630
1a	-16.93	-56.36	-18.00	7.34	
1b	20.89	-63.24	-50.00	7.00	
1c	7.14	-56.36	-18.00	6.98	
2	-68.50	-28.86	22.00	7.14	82738
2a	-47.87	-32.30	42.00	6.21	
2b	-61.62	12.40	2.00	5.95	
2c	-40.99	-49.49	66.00	5.85	
3	10.58	5.52	6.00	5.03	3498
3a	14.02	-1.36	18.00	4.80	
4	0.26	-18.55	-18.00	5.01	1749
4a	0.26	-1.36	-18.00	3.50	
5	-10.05	2.08	6.00	4.61	898
6	17.45	-21.98	-6.00	4.50	803
7	20.89	60.53	34.00	4.40	1654
7a	31.21	63.97	22.00	3.93	
7b	17.45	67.40	26.00	3.73	
8	-61.62	8.96	34.00	4.34	992
